empty,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,start,end
44.5,428,428,428,428,428,428,107,108,362,350,428,428,428,428,428,428,428,362,362,362,350,350,350,428,428
44.75,379,379,379,379,378,379,105,97,334,311,379,379,379,379,379,379,379,334,334,334,311,311,311,379,379
45.0,372,372,372,372,372,372,93,85,331,311,372,372,372,372,372,372,372,331,331,331,311,311,311,372,372
45.25,341,340,341,341,341,341,77,72,299,277,341,341,341,341,341,341,341,299,299,299,277,277,277,341,341
45.5,335,335,335,335,335,335,86,82,284,267,335,335,335,335,335,335,335,284,284,284,267,267,267,335,335
45.75,312,312,312,312,312,312,72,71,261,238,312,312,312,312,312,312,312,261,261,261,238,238,238,312,312
46.0,313,313,313,313,313,313,86,83,265,248,313,313,313,313,313,313,313,265,265,265,248,248,248,313,313
46.25,318,318,318,318,317,318,67,64,269,257,318,318,318,318,318,318,318,270,270,270,258,258,258,318,318
46.5,280,280,280,280,280,280,58,57,222,214,280,280,280,280,280,280,280,222,222,222,215,215,215,280,280
46.75,281,281,281,281,281,281,79,74,241,230,281,281,281,281,281,281,281,241,241,241,230,230,230,281,281
47.0,247,247,247,247,247,247,59,55,193,174,247,247,247,247,247,247,247,194,194,194,176,176,176,247,247
47.25,284,284,284,284,283,284,64,62,232,213,284,284,284,284,284,284,284,233,233,233,214,214,214,284,284
47.5,251,251,251,251,250,251,62,64,207,191,251,251,251,251,251,251,251,207,207,207,192,192,192,251,251
47.75,214,214,214,214,214,214,48,51,167,163,214,214,214,214,214,214,214,167,167,167,164,164,164,214,214
